id,hotelId,roomTypeId,bookedRoomCount,stoppingRoomCount,totalRoomCount,date,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,capacityRoomType,overnightBookedRoomCount
46,3,11,1,0,16,'2023-02-09 23:59:59.009000+09:00','2023-02-09 23:59:59.053817+09:00','2023-02-09 23:59:59.053817+09:00',None,None,None,None,None,2,9
47,3,13,1,0,31,'2023-02-09 23:59:59.009000+09:00','2023-02-09 23:59:59.053817+09:00','2023-02-09 23:59:59.053817+09:00',None,None,None,None,None,2,12
48,3,11,1,0,16,'2023-02-10 23:59:59.009000+09:00','2023-02-10 23:59:59.142441+09:00','2023-02-10 23:59:59.142441+09:00',None,None,None,None,None,2,8
49,3,13,1,0,31,'2023-02-10 23:59:59.009000+09:00','2023-02-10 23:59:59.142441+09:00','2023-02-10 23:59:59.142441+09:00',None,None,None,None,None,2,19
50,3,12,1,0,8,'2023-02-10 23:59:59.009000+09:00','2023-02-10 23:59:59.142441+09:00','2023-02-10 23:59:59.142441+09:00',None,None,None,None,None,2,3
51,3,11,1,0,16,'2023-02-11 23:59:59.014000+09:00','2023-02-11 23:59:59.059458+09:00','2023-02-11 23:59:59.059458+09:00',None,None,None,None,None,2,11
52,3,13,1,0,31,'2023-02-11 23:59:59.014000+09:00','2023-02-11 23:59:59.059458+09:00','2023-02-11 23:59:59.059458+09:00',None,None,None,None,None,2,10
53,3,12,1,0,8,'2023-02-11 23:59:59.014000+09:00','2023-02-11 23:59:59.059458+09:00','2023-02-11 23:59:59.059458+09:00',None,None,None,None,None,2,2
54,3,15,1,0,16,'2023-02-12 23:59:59.011000+09:00','2023-02-12 23:59:59.072140+09:00','2023-02-12 23:59:59.072140+09:00',None,None,None,None,None,2,1
55,3,17,1,4,31,'2023-02-12 23:59:59.011000+09:00','2023-02-12 23:59:59.072140+09:00','2023-02-12 23:59:59.072140+09:00',None,None,None,None,None,2,1
56,3,21,1,0,31,'2023-02-13 23:59:59.016000+09:00','2023-02-13 23:59:59.085058+09:00','2023-02-13 23:59:59.085058+09:00',None,None,None,None,None,2,12
57,3,20,1,0,8,'2023-02-13 23:59:59.016000+09:00','2023-02-13 23:59:59.085058+09:00','2023-02-13 23:59:59.085058+09:00',None,None,None,None,None,2,3
58,3,19,1,0,16,'2023-02-13 23:59:59.016000+09:00','2023-02-13 23:59:59.085058+09:00','2023-02-13 23:59:59.085058+09:00',None,None,None,None,None,2,10
59,3,25,1,0,31,'2023-02-14 23:59:59.009000+09:00','2023-02-14 23:59:59.057746+09:00','2023-02-14 23:59:59.057746+09:00',None,None,None,None,None,2,10
60,3,24,1,0,8,'2023-02-14 23:59:59.009000+09:00','2023-02-14 23:59:59.057746+09:00','2023-02-14 23:59:59.057746+09:00',None,None,None,None,None,2,3
61,3,23,1,0,16,'2023-02-14 23:59:59.009000+09:00','2023-02-14 23:59:59.057746+09:00','2023-02-14 23:59:59.057746+09:00',None,None,None,None,None,2,15
62,3,25,1,4,31,'2023-02-15 23:59:59.010000+09:00','2023-02-15 23:59:59.074901+09:00','2023-02-15 23:59:59.074901+09:00',None,None,None,None,None,2,28
63,3,24,1,0,8,'2023-02-15 23:59:59.010000+09:00','2023-02-15 23:59:59.074901+09:00','2023-02-15 23:59:59.074901+09:00',None,None,None,None,None,2,5
64,3,23,1,0,16,'2023-02-15 23:59:59.010000+09:00','2023-02-15 23:59:59.074901+09:00','2023-02-15 23:59:59.074901+09:00',None,None,None,None,None,2,12
65,3,25,1,4,31,'2023-02-16 23:59:59.008000+09:00','2023-02-16 23:59:59.073320+09:00','2023-02-16 23:59:59.073320+09:00',None,None,None,None,None,2,23
66,3,24,1,0,8,'2023-02-16 23:59:59.008000+09:00','2023-02-16 23:59:59.073320+09:00','2023-02-16 23:59:59.073320+09:00',None,None,None,None,None,2,9
67,3,23,1,0,16,'2023-02-16 23:59:59.008000+09:00','2023-02-16 23:59:59.073320+09:00','2023-02-16 23:59:59.073320+09:00',None,None,None,None,None,2,14
68,3,25,1,4,31,'2023-02-17 23:59:59.014000+09:00','2023-02-17 23:59:59.075207+09:00','2023-02-17 23:59:59.075207+09:00',None,None,None,None,None,2,13
69,3,24,1,0,8,'2023-02-17 23:59:59.014000+09:00','2023-02-17 23:59:59.075207+09:00','2023-02-17 23:59:59.075207+09:00',None,None,None,None,None,2,10
70,3,23,1,0,16,'2023-02-17 23:59:59.014000+09:00','2023-02-17 23:59:59.075207+09:00','2023-02-17 23:59:59.075207+09:00',None,None,None,None,None,2,16
71,3,25,1,4,31,'2023-02-18 23:59:59.010000+09:00','2023-02-18 23:59:59.071012+09:00','2023-02-18 23:59:59.071012+09:00',None,None,None,None,None,2,16
72,3,24,1,0,8,'2023-02-18 23:59:59.010000+09:00','2023-02-18 23:59:59.071012+09:00','2023-02-18 23:59:59.071012+09:00',None,None,None,None,None,2,12
73,3,23,1,0,16,'2023-02-18 23:59:59.010000+09:00','2023-02-18 23:59:59.071012+09:00','2023-02-18 23:59:59.071012+09:00',None,None,None,None,None,2,6
74,3,25,1,4,31,'2023-02-19 23:59:59.013000+09:00','2023-02-19 23:59:59.080304+09:00','2023-02-19 23:59:59.080304+09:00',None,None,None,None,None,2,11
75,3,24,1,0,8,'2023-02-19 23:59:59.013000+09:00','2023-02-19 23:59:59.080304+09:00','2023-02-19 23:59:59.080304+09:00',None,None,None,None,None,2,6
76,3,23,1,0,16,'2023-02-19 23:59:59.013000+09:00','2023-02-19 23:59:59.080304+09:00','2023-02-19 23:59:59.080304+09:00',None,None,None,None,None,2,4
77,3,25,1,4,31,'2023-02-20 23:59:59.010000+09:00','2023-02-20 23:59:59.140948+09:00','2023-02-20 23:59:59.140948+09:00',None,None,None,None,None,2,11
78,3,24,1,0,8,'2023-02-20 23:59:59.010000+09:00','2023-02-20 23:59:59.140948+09:00','2023-02-20 23:59:59.140948+09:00',None,None,None,None,None,2,6
79,3,23,1,0,16,'2023-02-20 23:59:59.010000+09:00','2023-02-20 23:59:59.140948+09:00','2023-02-20 23:59:59.140948+09:00',None,None,None,None,None,2,7
80,3,25,1,4,31,'2023-02-21 23:59:59.010000+09:00','2023-02-21 23:59:59.075580+09:00','2023-02-21 23:59:59.075580+09:00',None,None,None,None,None,2,9
81,3,24,1,0,8,'2023-02-21 23:59:59.010000+09:00','2023-02-21 23:59:59.075580+09:00','2023-02-21 23:59:59.075580+09:00',None,None,None,None,None,2,2
82,3,23,1,0,16,'2023-02-21 23:59:59.010000+09:00','2023-02-21 23:59:59.075580+09:00','2023-02-21 23:59:59.075580+09:00',None,None,None,None,None,2,10
83,3,25,1,4,31,'2023-02-22 23:59:59.015000+09:00','2023-02-22 23:59:59.075028+09:00','2023-02-22 23:59:59.075028+09:00',None,None,None,None,None,2,14
84,3,24,1,0,8,'2023-02-22 23:59:59.015000+09:00','2023-02-22 23:59:59.075028+09:00','2023-02-22 23:59:59.075028+09:00',None,None,None,None,None,2,4
85,3,23,1,0,16,'2023-02-22 23:59:59.015000+09:00','2023-02-22 23:59:59.075028+09:00','2023-02-22 23:59:59.075028+09:00',None,None,None,None,None,2,12
86,3,25,1,4,31,'2023-02-23 23:59:59.009000+09:00','2023-02-23 23:59:59.069354+09:00','2023-02-23 23:59:59.069354+09:00',None,None,None,None,None,2,17
87,3,24,1,0,8,'2023-02-23 23:59:59.009000+09:00','2023-02-23 23:59:59.069354+09:00','2023-02-23 23:59:59.069354+09:00',None,None,None,None,None,2,1
88,3,23,1,0,16,'2023-02-23 23:59:59.009000+09:00','2023-02-23 23:59:59.069354+09:00','2023-02-23 23:59:59.069354+09:00',None,None,None,None,None,2,11
89,3,25,1,4,31,'2023-02-24 23:59:59.014000+09:00','2023-02-24 23:59:59.074501+09:00','2023-02-24 23:59:59.074501+09:00',None,None,None,None,None,2,17
90,3,23,1,0,16,'2023-02-24 23:59:59.014000+09:00','2023-02-24 23:59:59.074501+09:00','2023-02-24 23:59:59.074501+09:00',None,None,None,None,None,2,14
91,3,25,1,4,31,'2023-02-25 23:59:59.009000+09:00','2023-02-25 23:59:59.068726+09:00','2023-02-25 23:59:59.068726+09:00',None,None,None,None,None,2,8
92,3,24,1,0,8,'2023-02-25 23:59:59.009000+09:00','2023-02-25 23:59:59.068726+09:00','2023-02-25 23:59:59.068726+09:00',None,None,None,None,None,2,1
93,3,23,1,0,16,'2023-02-25 23:59:59.009000+09:00','2023-02-25 23:59:59.068726+09:00','2023-02-25 23:59:59.068726+09:00',None,None,None,None,None,2,8
94,3,25,1,4,31,'2023-02-26 23:59:59.009000+09:00','2023-02-26 23:59:59.069146+09:00','2023-02-26 23:59:59.069146+09:00',None,None,None,None,None,2,8
95,3,23,1,0,16,'2023-02-26 23:59:59.009000+09:00','2023-02-26 23:59:59.069146+09:00','2023-02-26 23:59:59.069146+09:00',None,None,None,None,None,2,6
96,3,25,1,4,31,'2023-02-27 23:59:59.012000+09:00','2023-02-27 23:59:59.072883+09:00','2023-02-27 23:59:59.072883+09:00',None,None,None,None,None,2,6
97,3,24,1,0,8,'2023-02-27 23:59:59.012000+09:00','2023-02-27 23:59:59.072883+09:00','2023-02-27 23:59:59.072883+09:00',None,None,None,None,None,2,1
98,3,23,1,0,16,'2023-02-27 23:59:59.012000+09:00','2023-02-27 23:59:59.072883+09:00','2023-02-27 23:59:59.072883+09:00',None,None,None,None,None,2,9
99,3,25,1,4,31,'2023-02-28 23:59:59.011000+09:00','2023-02-28 23:59:59.056496+09:00','2023-02-28 23:59:59.056496+09:00',None,None,None,None,None,2,4
100,3,23,1,0,16,'2023-02-28 23:59:59.011000+09:00','2023-02-28 23:59:59.056496+09:00','2023-02-28 23:59:59.056496+09:00',None,None,None,None,None,2,10
101,3,25,1,4,31,'2023-03-01 23:59:59.012000+09:00','2023-03-01 23:59:59.057858+09:00','2023-03-01 23:59:59.057858+09:00',None,None,None,None,None,2,5
102,3,24,1,0,8,'2023-03-01 23:59:59.012000+09:00','2023-03-01 23:59:59.057858+09:00','2023-03-01 23:59:59.057858+09:00',None,None,None,None,None,2,1
103,3,23,1,0,16,'2023-03-01 23:59:59.012000+09:00','2023-03-01 23:59:59.057858+09:00','2023-03-01 23:59:59.057858+09:00',None,None,None,None,None,2,12
